id,resourceType,title,description,startDate,endDate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) Affected,Home(s) Affected,Building(s) Affected,Water vessel(s) affected,Government assistance,region
16,Disaster Event,Transport,"On 5 June 2007 the V/Line passenger train 8042 was struck by a loaded semi - trailer at a level crossing on the Murray Valley Highway approximately six km north-west of Kerang. The train was en route from Swan Hill to Melbourne and the semi-trailer was on a regular freight run from Wangaratta Victoria to Adelaide South Australia. When the incident occurred the level crossings flashing lights and warning bells were operating.  The semi-trailer collided with the second passenger car of the three passenger car train. A large section of the body-side was torn away by the truck trailer and several seats on the right side of the car were torn from their mountings. The truck trailer then struck the front right corner of the third car breaching the occupied area. The draft yoke connecting the second and third cars fractured and the third car derailed both cars. Eleven train passengers died and a further 14 and the truck driver were injured.  The incident was reported by the train driver and others at the scene and the emergency service unit arrived on site at 1350 hours.  The Murray Valley Highway was opened to normal road traffic on 8 June 2007 and the rail line was re-opened on 12 June 2007.  A coroner&rsquo;s inquest in 2013 resulted in 25 recommendations, including changes to level crossing warnings and emergency response procedures.   &nbsp;",2007-06-05,05/06/2007,-35.76305389,143.9385834,0,0,14,11,0,0,0,0,0,0,Victoria
17,Disaster Event,Severe Storm,"In June 2007 there were five east coast lows off the coast of New South Wales. The first and most severe occurred over 8-9 June. Heavy rain, strong winds and large ocean swells resulted in widespread damage to coastal regions of the Hunter, Central Coast and Sydney Metropolitan areas. The Queen's birthday weekend east coast lows developed in a pre-existing trough of low pressure over the northern Tasman Sea. This trough was directing a humid north-east to south-east air stream across north-east New South Wales and there was a weak low analysed just off the coast near Coffs Harbour on 8 June. The low moved south along the New South Wales coast, before moving out into the Tasman Sea on 10 June 2007.  Thunderstorms caused record breaking flooding in Newcastle, with 164.6 mm of rain falling in 6 hours from 3 pm to 9 pm, causing many shops and businesses to flood and hundreds of cars to be stranded or swept away. This storm event is often associated with the grounding of the Pasha Bulker (a 40,000 tonne bulk carrier ship) which occurred on 8 June on Nobbys Beach in Newcastle and was not re-floated until 2 July. Approximately 6000 people were evacuated from Maitland (near Newcastle) when it was considered that a levee may have burst.  In the Hunter Valley it was reported as the worst flooding in 52 years. Major flooding in the Hunter River occurred from 8 to 13 June and in the Paterson and Williams River from the 8 to 9 June. Moderate flooding occurred in the Wyong, Colo and Nepean Rivers.  Ferry services were cancelled on Sydney Harbour due to the weather conditions. The Cremorne wharf collapsed and sank due to large ocean swells. Beaches were eroded at many Sydney locations, due to swells up to 14 metres high. High winds blew beach sand over 100 metres inland. Over 200,000 homes reportedly lost power in the Sydney - Newcastle area due to flooding and high winds. Many thousands of homes and businesses lost telephone services when telephone exchanges were flooded.  A natural disaster was declared in the Hunter Valley and the Central Coast areas. There were a total of nine fatalities associated with the storm. Nearly 20,000 calls for assistance were made to the State Emergency Service.  The Insurance Council of Australia estimated the 2007 damage at $1480 million, with the 2011 estimated normalised cost of $1742 million.",2007-06-08,10/06/2007,-32.92599487,151.7788696,6000,0,0,9,1480000000,0,0,0,1,0,New South Wales
18,Disaster Event,Flood,"In late June 2007, the Gippsland area received record rainfall associated with an intense low pressure system. The substantial rain event followed the Great Divide Bushfires, when 1.2 million hectares of public and private land were burnt and large areas of soil were left exposed.   The storm in June 2007 resulted in major flooding and widespread damage. Seven rivers burst their banks causing millions of dollars of damage to homes, businesses and farms, as well as a significant loss of public and private assets. The rapidly rising floodwaters forced dozens of rescues and evacuations. One person died as a result of the flood waters. During 48 hours of torrential rain more than 1000 emergency service staff worked to save homes and shops in towns throughout Gippsland. Relief centres were set up at Bairnsdale, Lakes Entrance, Paynesville, Sale, Lucknow and Loch Sport and housed up to 360 evacuees. Volunteers also provided medical aid and catering with other organisations such as the Lions Club.  The State Government established a Flood Recovery Ministerial Taskforce, which assessed community need and planned the recovery program. The Taskforce announced a $60 million Flood Recovery Initiative covering among other things the cost of work on some 400 roads, bridges and 80 walking tracks spanning hundreds of km and clearing debris from the regions&rsquo; water supplies, catchments and recreation areas.  The Insurance Council of Australia estimated the 2007 damage at $15 million, with the 2011 estimated normalised cost of $18 million.",2007-06-27,02/07/2007,-38.2273941,146.7471313,0,0,0,1,15000000,0,0,0,0,0,Victoria
21,Disaster Event,Urban Fire,"On 22 September 2007 a historical department store in Hobart was destroyed by fire. The fire started in the Liverpool Street store between the first and second floors. The building consisted of four trading floors and was one of the largest department stores in Hobart. The building was successfully evacuated and there were no deaths or significant injuries. When the fire was at its worst, approximately 90 firefighters from Hobart and surrounding areas, more than 60 police and a number of ambulance crews were in attendance.  The roof of the Liverpool Street store collapsed and the structural damage was such that the remaining four walls had to be demolished to avoid damage to neighbouring buildings. Significant damage occurred to the contents of surrounding stores.  The Tasmanian Fire Service assessed the damage to&nbsp;the store&nbsp;and the surrounding businesses to cost in the vicinity of $50 million.",2007-09-22,22/09/2007,-42.88118362,147.3239594,0,0,0,0,50000000,0,0,1,0,0,Tasmania
22,Disaster Event,Bushfire,"Victoria experienced a very adverse fire season during 2006 - 2007. Lightning ignited a number of fires on 1 December 2006 and some later merged to form what is known as the 'Great Divide Complex' fires in eastern Victoria. The area burnt mostly public land and was estimated to be in the vicinity of 1.2 and 1.3 million hectares by the end of the season. On 7 February 2007, The Great Divide fires were finally contained after 69 days. There were also a number of other fires (Tawonga Gap burned 33,500 hectares and Tatong burned 33,000). Despite the severity of the fire season, housing and private asset losses were remarkably low. In total, 51 dwellings of which 21 were classified as primary residences were destroyed and hundreds of stock and farm fencing were lost in the fires. One man died in a vehicle accident while assisting a property owner to prepare for fire impact.  Thousands of community volunteers and career emergency service personnel across state, regional and community levels worked in partnership to ensure the fires were eventually brought under control. A further component to the response was the support and assistance from New Zealand, United States, Canadian and interstate colleagues.  By 7 February, more than 1400 firefighters had been injured in the fire fighting effort (including bruises, cuts, blisters, burns, dehydration, broken limbs and spider bites). More than 400 St John Ambulance volunteers, including doctors, nurses and first aid officers provided medical assistance. On 16 December, 11 New Zealand firefighters were injured while fighting the fire in the Howqua Valley in north-east Victoria.  On 16 January 2007 power lines were cut which severely disrupted Melbourne electricity supplies. On the same day, a fire threatened to close Tullamarine Airport. The Department of Sustainability and Environment (DSE) worked with Melbourne Water to keep the fires out of the water catchments.  A significant number of people were evacuated during the fires. Relief centres were established to accommodate evacuees. Some mountain tourist complexes were evacuated due to fires including Mount Buller and Thredbo Village in New South Wales, the latter due to a fire that started from a lightning strike at Hermit Mountain and crossed the border.  Victoria experienced widespread effects from the fires. Numerous schools in the high country and some parts of Gippsland were forced to close due to the fire threat and outside play at school was banned in some instances due to smoke haze. The smoke haze reportedly caused some respiratory symptoms and aggravated conditions such as asthma. Haze also ffected traffic and delayed flights in and out of Melbourne airport. On 20 December, the Environment Protection Authority recorded its worst bushfire smoke since records began, with visibility reduced to two km in Melbourne's central business district.  During the fire season, the Country Fire Authority, Department of Sustainability and Environment and Parks Victoria received operational assistance from other states and a significant international contingent:    ACT - 37 personnel  NSW - 1050 personnel  NT - 108 personnel  SA - 10 personnel  Qld - 14 personnel  WA - 20 personnel  Canada - 52 personnel  New Zealand - 115 personnel  USA - 114 personnel    The Victorian and Federal Government provided financial assistance to aid personal, physical and economic recovery from the fire disaster.  The Insurance Council of Australia did not report any cost for this particular fire.",2006-12-01,07/02/2007,-36.71800995,147.1452179,0,0,1400,1,0,0,51,0,0,0,Victoria
23,Disaster Event,Hail,"On 8 October 2007 a super-cell thunderstorm with large hailstones the size of tennis balls hit Lismore at 1.50 pm causing chaos in the central business district. There was extensive damage to central Lismore as a result of the large hail and strong winds. South Lismore was hit again on 9 October by hail 6 cm in diameter and strong winds estimated at 100 km per hour, which caused widespread damage. Approximately 20 mm rain fell in 10 minutes. Seventeen people were injured by hail or flying glass from smashed windows. Homes and motor vehicles were damaged, trees were uprooted by flash flooding and there were many power outages. Buildings were damaged including City Hall, the police station, ambulance station, hospital and other council buildings as well as small businesses.  There were approximately 300 calls for assistance received by the SES.  The Insurance Council of Australia estimated the 2006 damage at $97 million, with the 2011 estimated normalised cost of $109 million.",2007-10-08,09/10/2007,-28.80650711,153.276947,0,0,17,0,97000000,0,0,0,0,0,New South Wales
24,Disaster Event,Severe Storm,"In early October 2007, severe storms brought about heavy rain and caused widespread damage in south-east Queensland and northern New South Wales.  There was damage to roads, bridges, houses and buildings. The State Emergency Services (SES) provided accommodation, household repairs and replacement assistance.  The Insurance Council of Australia estimated the 2007 damage at $97 million, with the 2011 estimated normalised cost of $109 million.",2007-10-07,12/10/2007,-28.80579758,153.2768707,0,0,0,0,97000000,0,0,0,0,0,Queensland
25,Disaster Event,Chemical,"At approximately 10.30 pm, on 23 March 2004, a hose attachment was made between the process water and the clean water pipe system in the Ranger ore processing facility, near Kakadu National Park. Early the following day, workers showering after the night shift complained of skin irritation and poor quality drinking water. There were also reports of nausea, stomach cramps and vomiting from drinking contaminated water. Energy Resources Australia (ERA) admitted there were at least 28 workers that either drank or showered in water that had 400 times the legal dose of uranium.  Initial testing by ERA indicated that the water had a mild acidic ph of 4.5 and an elevated uranium content of eight parts per million. In response to this incident, ERA decided to close down both the clean water and process water systems, send non-essential staff home and conduct an orderly shutdown of the mine and all processing facilities.  A report by the Department of Environment and Heritage concluded that the primary cause of the contamination of the potable water system at the Ranger mine was that an operator opened a valve connecting the water manifold at the Fine Ore Bin (FOB) Scrubber to a one inch hose. At the time of this connection, the manifold was also connected to the process water system. Unknown to this operator, the other end of the one inch hose was connected to the potable water system and the valve at that end of the hose was open. The higher pressure in the process water system caused water to flow from the process water system into the potable water supply system.",2004-03-23,23/03/2004,-12.83351898,131.9443359,0,0,28,0,0,0,0,0,0,0,Northern Territory
26,Disaster Event,Urban Fire,"On 22 August 2004 a fire occurred at a shopping centre in&nbsp;Torrens Park, Adelaide. The deliberately lit fire caused in excess of $25 million damage and affected over 50 business owners.  Fire fighting efforts saved the complex from complete destruction; half the complex was saved from the fire and many stores were open for business within a few days. The incident involved 70 firefighters, 13 pumps, two aerial appliances and three specialist vehicles and assistance from the Country Fire Service.",2004-08-22,22/08/2004,-34.97860336,138.6230469,0,0,0,0,25000000,0,0,0,0,0,South Australia
27,Disaster Event,Chemical,"On 29 October 2004, a package dropped in a loading bay at a Tullamarine freight depot released toxic vapours. The solution, containing hydrochloric and formic acid, formed a smoky haze after the spill, and caused the evacuation of 400 workers and injuries to 28 people. Most of the injured sustained respiratory irritation, nausea and vomiting.",2004-10-29,29/10/2004,-37.6662941,144.8489075,400,0,28,0,0,0,0,0,0,0,Victoria
28,Disaster Event,Hail,"On 21 January 1986 a severe hailstorm caused extensive damage to homes, farms and crops in the Orange area of the Central Tablelands. Hail of up to 7 cm in diameter was reported and over 100 motor vehicles were damaged. The Insurance Council of Australia estimated the 1986 damage at $25 million, with the 2011 estimated normalised cost of $160 million.",1986-01-21,21/01/1986,-33.28357697,149.1012726,0,0,0,0,25000000,0,0,0,0,0,New South Wales
32,Disaster Event,Severe Storm,"On 23 June 1998, severe storms with gale force winds affected the Northern tablelands and Hunter Valley regions of Sydney, causing damage to properties and infrastructure. Fallen power lines created a power outage for over 7000 homes and demand for power reached record levels on the night of 23 June.  The State Emergency Service reported that across the State more than 2000 requests for assistance had been received; almost 1800 of which were received from the Hunter Valley. The worst affected areas were Lake Macquarie, Maitland, Newcastle and Port Stephens.  One woman drowned in flooded waters at Crookwell.  The Insurance Council of Australia estimated the 1998 damage at $12 million, with the 2011 estimated normalised cost of $39 million.&lt;",1998-06-23,24/06/1998,-32.7326355,151.5579376,0,0,0,1,12000000,0,0,0,0,0,New South Wales
34,Disaster Event,Hail,"On 18 March 1990, a hailstorm spread from Camden south-west of Sydney to Narrabeen Beach on Sydney's northern region. The hail measured up to 8 cm and caused severe damage to approximately 14,000 homes and businesses and 9000 motor vehicles. Winds reached 109 km per hour at Bankstown. Nine kilometres of power lines were brought down and roads were closed from flash flooding. The State Emergency Service received more than 3500 calls for help in the first two days after the storm with assistance being provided to approximately 2000 homes. Twenty-five people sustained serious injury.  The Insurance Council of Australia estimated the 1999 damage at $319 million, with the 2011 estimated normalised cost of $1297 million.",1990-03-18,18/03/1990,-33.91615677,151.0357513,0,100,25,0,319000000,0,0,1400,0,0,New South Wales
36,Disaster Event,Bushfire,"On 19 January 1997, temperatures soared above 40 &deg;C and northerly winds were gusting at 70 km per hour contributing to two damaging bushfires near Melbourne. The fires in Mt Eliza burnt two homes and evacuations were required at Mt Martha, Arthur's Seat and the Mornington Peninsula. Approximately 250 bushfires burnt areas of Victoria on 21 January, a 41.2 &deg;C day. The worst affected areas were Ferny Creek, Upwey and Kalorama in the Dandenong Ranges where it took 1,500 firefighters and six water-bombing aircraft to control the 3,700 ha forest blaze. In addition to the two houses at Mt Eliza, 41 houses were destroyed and 45 damaged in the Dandenongs. Three people died (at Ferny Creek) and approximately 40 were injured throughout the State.  The Insurance Council of Australia estimated the 1997 damage at $10 million, with the 2011 estimated normalised cost of $29 million.",1997-01-19,21/01/1997,-37.88122559,145.3422699,800,0,40,3,29000000,0,88,0,0,0,Victoria
40,Disaster Event,Transport,"On 6 May 1990, a Sydney-bound commuter train travelling from Newcastle crashed into the rear of a stalled chartered steam train. The 3801 locomotive, also bound for Sydney, had stopped on a rise from the Hawkesbury River and was building up steam to get up the grade (Cowan Bank) when the Sydney bound train emerged from the Boronia tunnel near Brooklyn and collided with the 3801.  The accident happened 5 km south of the Brooklyn Bridge, between the Hawkesbury River and the town of Cowan. A total of 93 people were injured and six people died. The front of the four-carriage Sydney train was derailed in the accident.  An interim ban was placed on the use of steam locomotives on the New South Wales railway system.  A Coronial inquiry found that a railway signal fault occurred due to sand being dumped on the rail by the driver of 3801 to provide traction when the train went into a violent wheel-spin as it approached the Boronia tunnel. A handbrake in one of the steam train's carriages may have been partially applied, the inquiry found, to cause the train to slow down. Just outside the tunnel, the driver opened the valve to full throttle and the steam train pulled to a complete stop and more sand was applied to the rails.  While the 3801 was attempting to climb the hill, the Sydney - Newcastle train was stopped at a red signal on the other side of the tunnel. The lights apparently fluctuated from red to green seemingly because of sand on the rails. When the lights stayed permanently on the green the urban train moved forward through the tunnel, when the crash with 3801 occurred. The force of the impact destroyed the last carriage of the historic train and demolished the front carriage of the Sydney train.  Those involved in the incident were cleared of blame, however, it was said that although the signals had tested satisfactorily, the sand applied to the line by 3801 may have caused them to malfunction on the day.",1990-05-06,06/05/1990,-33.54511642,151.2256012,0,0,93,6,0,2,0,0,0,0,New South Wales
41,Disaster Event,Cyclone,"Tropical Cyclone Winifred registered as a category three cyclone and recorded wind gusts up to 175 km per hour, near Cowley Beach south of Innisfail. Damage and disruption extended from north of Cairns to Cardwell and inland on a narrow front to Ravenshoe. The areas that suffered flooding were between Babinda and Tully.  The tide gauge at Clump Point recorded a storm surge of 1.6 m, wave run-up on beaches was approximately 2 m above the astronomical tide. Significant 24 hour rainfalls during the period were Topaz 304 mm, Ravenshoe 373 mm, Tully 212 mm, lnnisfail 221 mm and Babinda 251 mm. There were three deaths.  The Insurance Council of Australia estimated the 1986 damage at $40 million, with the 2011 estimated normalised cost of $205 million.",1986-01-27,05/02/1986,-17.69570732,146.1140442,0,0,0,3,40000000,0,0,1500,12,0,Queensland
43,Disaster Event,Epidemic,"In late March 2002 a large outbreak of food poisoning was reported in Melbourne. More than 272 people sought medical care, with 15 being admitted to hospital. The onset of gastroenteritis was within one to four hours after consumption of a meal of rice, lamb and potatoes served at a New Year festival. The cause of the outbreak was believed to be inadequate storage and handling of leftover food.",2002-03-25,25/03/2002,-37.81324387,144.9628906,0,0,272,0,0,0,0,0,0,0,Victoria
44,Disaster Event,Transport,"At dawn on 13 August 1989, five hot air balloons were operating tourist flights approximately 25 km south of Alice Springs. Two of the hot air balloons, VH-WMS and VH-NMS, collided as VH-WMS descended and VH-NMS ascended. The envelope of the ascending VH-NMS struck the basket of the other hot air balloon, and a hole was torn in the fabric panels and seams. This caused VH-NMS to descend as hot air escaped and the envelope deflated rapidly. The basket then plummeted to the ground, killing its driver and the 12 passengers on board.",1989-08-13,13/08/1989,-23.905299,133.905144,0,0,0,13,0,0,0,0,0,0,Northern Territory
48,Disaster Event,Severe Storm,"In February 1978 severe storms affected Sydney, Newcastle and Wollongong. Wind gusts reached 141 km per hour at Newcastle, causing extensive damage to buildings and the loss of power to many homes. In total eight people were injured as a result of this storm. A tornado accompanied a thunderstorm in the Drummoyne and Hunters Hill areas of Sydney.  The Insurance Council of Australia estimated the 1978 damage at $15 million, with the 2011 estimated normalised cost of $215 million.",1978-02-10,11/02/1978,-32.92599487,151.7788696,0,0,8,0,15000000,0,0,0,0,0,New South Wales
50,Disaster Event,Flood,"On 18 April 1990 after several weeks of heavy rain over Queensland, a strong upper level low dumped upwards of 150 mm of rain with exceptional totals to 350 mm across large areas of central Queensland over a three day period. Already saturated catchments were inundated and major flooding quickly developed on the Warrego and Maranoa Rivers and many other inland systems. The towns of Jericho and Augathella were flooded and a section of the Longreach railway was washed away.  On the morning of 21 April, the Warrego River was rising rapidly. Later the same day the river peaked at over 8.5 m which was 1.5 m above the previous record. Levee banks protecting the town were ineffective and floodwaters spread through the town, necessitating the entire population of 3500 to be evacuated to the airport. Many residents climbed to their rooftops and had to be rescued by helicopter.  The low then moved south-east and torrential rains were experienced across large areas of New South Wales west of the Divide. There was major flooding on the Lachlan, Macquarie and Castlereagh Rivers, among others. The Bogan river flooded into Nyngan. Despite the residents' ttempts to raise the levee banks by sand bagging, the levees could not withstand the flood and on the 23 April, as the river surged to 5.2 m, nearly one metre higher than the previous record, most of the town was inundated. The population of 2500 was evacuated to Dubbo, 160 km away.  The low then moved towards Victoria and produced torrential rains over Gippsland on 20 and 21 April with up to 350 mm recorded over the two day period. Major flooding occurred on the Thomson, Avon and Mitchell Rivers. Hectares of vegetable crops were destroyed by flood waters and highways cut. People were evacuated from low-lying areas. It total 150 homes were flooded.  Property losses from the three-state flood were considerable.Towns and houses flooded, infrastructure was destroyed or damaged, thousands of sheep and cattle drowned and thousands of hectares of ruined crops.  The floods claimed six lives.  The Insurance Council of Australia estimated the 1990 damage at $30 million with the 2011 estimated normalised cost of $99 million.",1990-04-21,30/04/1990,-31.54109001,147.1975708,0,5000,0,6,30000000,0,0,0,0,0,New South Wales;Victoria;Queensland
52,Disaster Event,Transport,"On 2 October 1989, two buses collided on Adelaide&rsquo;s O-Bahn (high speed busway). There were 78 people injured. The accident occurred 5 km north-east of the city, when a bus moving off the track onto the interchange was hit from behind by a second bus.",1989-10-02,02/10/1989,-34.92675781,138.5994873,0,0,78,0,0,0,0,0,0,0,South Australia
54,Disaster Event,Transport,"On 13 January 1996, two freight trains collided at a crossing loop at Hines Hill 264 km east of Perth. One train was conveying diesel fuel oil which was struck in the collision. On impact the two trains exploded into fire. Two people died in the collision. The estimated damage to wagons from the accident was $10 million.",1996-01-13,13/01/1996,-31.530181,118.078705,0,0,1,2,0,0,0,0,0,0,Western Australia
57,Disaster Event,Shipwreck,"On 9 August 1972 the Nieuw Holland, a steamship, collided with the tug boat Melbourne. The tug boat sank half a mile from Gellibrand Pier Williamstown, Port Phillip. Five men on the tug drowned.",1972-08-09,09/08/1972,-37.8773613,144.9148254,0,0,0,5,0,0,0,0,1,0,Victoria
58,Disaster Event,Earthquake,"On 28 December 1989 at 10.27 am, an earthquake measuring 5.6 on the Richter scale hit Newcastle. The&nbsp;earthquake's epicentre was approximately 15 km from Newcastle's central business district.  The earthquake caused widespread damage to infrastructure including roads, bridges and power lines. It also caused damage to 50,000 buildings, including 40,000 homes. As a result 13 individuals lost their lives and 160 sustained various injuries.  In February 1990, Cyclone Nancy dumped a large amount of rain on Newcastle, which increased the rate of movement in some structures and prompted the discovery of leaks in buildings that had previously been considered structurally sound after the earthquake.  The Insurance Council of Australia estimated the 1989 damage at $862 million, with the 2011 estimated normalised cost of $3240 million.",1989-12-28,29/12/1989,-32.92592239,151.7787018,0,0,160,13,862000000,0,40000,50000,0,0,New South Wales
59,Disaster Event,Severe Storm,"On 5 January 1998 at 3.15pm, a severe storm with hail and strong winds struck the western New South Wales town of Nyngan. Damage to property included four houses destroyed and 77 houses sustaining significant damage. Public buildings, schools and shops were also damaged. There was widespread damage to infrastructure including electricity lines, water and sewage. One person was injured.  The Insurance Council of Australia estimated the 1998 damage at $12 million, with the 2011 estimated normalised cost of $27 million.",1998-01-05,05/01/1998,-31.53523827,147.1920776,0,0,1,0,12000000,0,81,0,0,0,New South Wales
63,Disaster Event,Bushfire,"Starting in late December 1993 and continuing through into January 1994, New South Wales experienced an extended period of extreme fire weather. It occurred north of Sydney to the Queensland boarder and south of Sydney as far as Bateman's Bay. A total of 800,000 ha was destroyed by approximately 800 different fire related incidents. There was a large response effort issued by Governments and the New South Wales community. Volunteers combined with military personal were utilized for property protection, support activities and relief assistance.  The Insurance Council of Australia estimated the 1993/1994 damage at $59 million, with the 2011 estimated normalised cost of $215 million.",1993-12-27,12/01/1994,-29.58524513,152.7775879,0,0,0,4,59000000,0,206,0,0,0,New South Wales
